channel_id,all_comment_count,eng_comment_count
UCBr2W3nb0jPSnommNbbpMAw,33,31
UCBt6XQJC3G40OUjb316ENLg,34,22
UCBvZ2hEzZZaWAIrUHVN6YUw,63,26
UCBwmMxybNva6P_5VmxjzwqA,101,63
UCBzJB1kZcFcn65HknBCfCcA,39,21
UCC0-MHKPdq09Mtg5bGjFY7A,28,18
UCC184ncihJzZze2CmfAQGOQ,29,7
UCC1Mi4fVXKETdFGDlW7rC3w,32,30
UCC1RVMyl0nwjWFydWUNTsYw,2,2
UCC2nOsHWoccGP7ZzbuMYV0w,31,26
UCC552Sd-3nyi_tk2BudLUzA,36,32
UCC6gbNO098rkQKCU0ZaLITQ,34,4
UCCB1tNcxtHw7kkCzCUqGteg,34,30
UCCB6sAb8YsTr16-bIxFQUhA,36,16
UCCJsQKOKArvDksacfT2ryQw,34,14
UCCK3OZi788Ok44K97WAhLKQ,36,2
UCCLg0FJsmxdyHf9sHJlnsTA,32,23
UCCMAz1jZ4_IyhthHk23EMJQ,120,96
UCCNFCLWh1AA-qbyOyp8jlZg,27,24
UCCNw1OSmIlqIXrzeLE4e7fw,30,21
UCCODtTcd5M1JavPCOr_Uydg,160,137
UCCOi5b2vqQ0hHQRBZ6yoT3w,30,13
UCCOrp7GPgZA8EGrbOcIAsyQ,70,61
UCCQi3X-PJGmd6DrPN9Rb6iw,31,29
UCCRFU6puznGXVKW3Ad_gKXg,31,15
UCCV5kpsPAE2M0KdrSws5R1g,30,19
UCCVclxslsRWT3LHFu8mQhNA,32,24
UCCXoCcu9Rp7NPbTzIvogpZg,24,24
UCCYg74-k06_SmH69neYxfvA,30,22
UCCZGYab5SpD0I7Z5JqJZgww,64,43
UCCbv0qixG-cyokxEY3kELtg,31,24
UCCcl8RCA9wia6TsKUnc-6sQ,11,11
UCCeCpXN7FaJUFBfhLtQYHdw,27,0
UCCfKlFlKYBxZ-UU2dWc17IQ,28,2
UCCfqyGl3nq_V0bo64CjZh8g,35,32
UCCg7II9RHL8Y-GS9NnFQy8g,58,11
UCCgFcKM61Y6qa4ArTTvVWqg,25,0
UCChJlbkHREctAZqoFyfhDeA,33,0
UCChWvNbRQYQ5fj1Nj3RQu8Q,24,14
UCChmJrVa8kDg05JfCmxpLRw,30,28
UCCj956IF62FbT7Gouszaj9w,382,318
UCCjyq_K1Xwfg8Lndy7lKMpA,15,13
UCCk88z7a-Gs6IEAO3fp-UZQ,35,34
UCCktnahuRFYIBtNnKT5IYyg,72,60
UCClfFsWcT3N2I7VTXXyt84A,52,51
UCCtgqKwqf4akt_gSElDqXdg,50,33
UCCu5wtZ5uOWZp_roz7wHPfg,64,59
UCCv191RGdi3HxhhXcB0PMbQ,29,21
UCCveE6GvM-l73rMlv1sAKIA,33,3
UCCysh95qsIUCPb-61VBag8A,27,6
UCCz4pq2xBQgFAcYqx-ElFuA,7,2
UCCzY4KCWLjVzTZfIY0xZtog,33,5
UCCzmXhARScj7wtJ0f2co64A,33,17
UCD-vc2iGxEcLfWhwyJPqe_w,30,14
UCD2pGFLU2sDnlGIPl8U9eEA,23,13
UCD5B6VoXv41fJ-IW8Wrhz9A,35,32
UCD6YMmVyF50oiwXisgbF-2w,20,2
UCD7e_ETGAyGU61vwnknZM7A,25,23
UCDETFHKteb-C_EaXmRKvP4w,34,30
UCDFaGHrYtg_U72sTTU5XDcg,31,31
UCDK4NDcmqgUlSuYoNac0VzA,30,6
UCDOJLR72Jj-lEviJdwU4G6g,29,18
UCDPk9MG2RexnOMGTD-YnSnA,86,60
UCDQ0pYBbR3rGWnn-BZJ9lXA,76,45
UCDQxJLtUe4ixRPgqTYi6PgQ,31,26
UCDTAy8OylJsSxViF6oRiR8A,31,29
UCDVYQ4Zhbm3S2dlz7P1GBDg,31,23
UCDYaeNvP7JDpKvozANiw5fA,35,18
UCDdBzyuqG1oWoQmf7Ih9isw,9,0
UCDeH8IeKqvzn8x_iZPAuIfA,28,4
UCDfYcuNw-ff952Xn0VDWwDw,37,34
UCDgUAAHgsV2fFZQm2fIWBnA,37,33
UCDiFRMQWpcp8_KD4vwIVicw,29,28
UCDjpp9fOeGLy754KJvRl10w,65,59
UCDka4-WyKGDSS8j2AR18K_Q,31,0
UCDl5YK8CD2fY267VdDHLgfg,117,112
UCDqQA5QPBQBvLy6TSaG-0Sg,34,30
UCDrK0DHakytP0-c43kPit-g,31,30
UCDtqUmBIjQWbe9rpnyOQ_Gg,3,2
UCE0-Bxu88d4bsGCv34zvtbA,35,20
UCE28rwYoaV7jvU6GVzdu_GQ,60,43
